geo_id,geo_name,geo_type,sample_size,vulnerability_rate,median_gap,coverage_pct
06073013203,06073013203,tract,2112,66.76136363636364,20484.57,73.80945367992129
06073013204,06073013204,tract,1265,69.0909090909091,29078.129999999997,70.15886731291498
06073013205,06073013205,tract,702,68.66096866096866,32404.33,63.17787143641673
06073013206,06073013206,tract,2147,72.89240801117839,28076.83,62.13005223250864
06073013301,06073013301,tract,1603,53.462258265751714,6008.769999999997,94.07714464806399
06073013302,06073013302,tract,1469,57.385976855003406,14850.579999999987,88.34028820122877
06073013303,06073013303,tract,1438,70.86230876216968,34929.134999999995,66.79551426687023
06073013306,06073013306,tract,1143,62.20472440944882,20520.67,79.38580595292538
06073013307,06073013307,tract,1260,68.65079365079364,34029.07000000001,66.13734455112494
06073013308,06073013308,tract,1063,65.8513640639699,22683.520000000004,78.8802228436808
06073013309,06073013309,tract,1891,37.5462718138551,-25376.619999999995,123.86892784630696
06073013312,06073013312,tract,897,46.48829431438127,-5957.509999999995,105.40150350547674
06073013315,06073013315,tract,1209,48.22167080231596,-4105.489999999991,102.61989268299192
06073013316,06073013316,tract,2228,55.11669658886894,12136.425000000003,91.37717833486606
06073013317,06073013317,tract,5293,51.35084073304365,2872.399999999994,97.80388151174668
06073013318,06073013318,tract,2129,51.573508689525596,3870.9900000000052,97.71358211373573
06073013319,06073013319,tract,3228,49.90706319702603,-250.0,100.18682788667768
06073013320,06073013320,tract,1863,60.81588835212024,23111.130000000005,84.81426710431342
06073013321,06073013321,tract,2143,48.95006999533364,-2981.679999999993,102.10139349251688
06073013322,06073013322,tract,1108,46.48014440433213,-7566.110000000001,104.86950189890985
06073013323,06073013323,tract,2080,46.10576923076923,-10842.080000000002,107.28767571094886
06073013324,06073013324,tract,910,56.7032967032967,12313.130000000005,89.58796752619934
06073013325,06073013325,tract,1950,64.87179487179488,34095.11,69.80176472425099
06073013326,06073013326,tract,1136,22.44718309859155,-55135.850000000006,140.0101854739039
06073013327,06073013327,tract,1713,36.42732049036778,-33292.81,134.8261076258491
06073013401,06073013401,tract,1368,38.45029239766082,-25399.825000000004,120.64963554230121
06073013409,06073013409,tract,1973,43.33502280790674,-9365.669999999998,111.07146012327979
06073013411,06073013411,tract,1653,33.51482153660012,-41026.490000000005,137.22011997503165
06073013412,06073013412,tract,1809,38.032061912658925,-23149.960000000006,121.43188417842433
06073013414,06073013414,tract,2488,27.692926045016076,-42766.659999999996,144.46106074581942
06073013415,06073013415,tract,525,20.57142857142857,-55626.31,161.36391256998
06073013416,06073013416,tract,1211,50.12386457473163,515.4500000000116,99.73950259120251
06073013417,06073013417,tract,669,41.85351270553064,-18320.79999999999,112.05414204480546
06073013418,06073013418,tract,2087,60.757067561092484,24587.190000000002,78.81948312644288
06073013420,06073013420,tract,989,51.56723963599595,2010.6100000000006,97.28026214106124
06073013421,06073013421,tract,1298,33.35901386748844,-35481.875,135.85812123764475
06073013422,06073013422,tract,1317,41.60971905846621,-25210.509999999995,120.22309833465634
06073013423,06073013423,tract,1014,35.404339250493095,-33744.72,120.80378370200404
06073013424,06073013424,tract,1859,40.50564819795589,-24165.76999999999,117.75407468995225
06073013425,06073013425,tract,507,35.30571992110454,-43331.16,125.51253518915217
06073013503,06073013503,tract,1883,46.468401486988846,-6970.489999999998,107.38668396089226
06073013504,06073013504,tract,1307,27.161438408569243,-44119.53,147.6511511042333
